"Ketepatan obat & pelayanan poliklinik ditingkatkan,karena saya pernah berobat di poliklinik telkom dan mendapat obat yang tidak sesuai sehingga saya harus merasakan tidak enak badan hingga 2minggu",1,-1,1,1,1
-,1,1,1,1,1
Parkiran jangan cuma terpusat disitu ! Kaga muat,1,1,1,1,1
sudah baik,1,1,1,1,1
tingkatkan,-1,-1,-1,-1,-1
lebih ditingkatkan lagi,-1,-1,-1,-1,-1
Memuaskan,1,1,1,1,1
mahasiswa agar lebih dilayani saat membutuhkan pertolongan yang berhubungan dengan kuliah,1,1,1,1,1
"so far so good, fasilitas kesehatan ditingkatin dibagusin juga gitu hehehe",1,-1,1,1,1
Tingkatkan kualitas,-1,-1,-1,-1,-1
sudah lumayan bagus,1,1,1,1,1
diberikan lapangan yang terawa,1,1,1,1,1
good,1,1,1,1,1
Layanam kesehatan di perbanyak dan di tingkat kan lagi.,1,-1,1,1,1
kegiatan mahasiswa sudah sangat interaktif,1,1,1,1,1
kegiatan mahasiswanya sudah baik dan pelayanan asramanya juga sudah baik,1,1,1,1,1
lumayan,1,1,1,1,1
"tingkatkan kemudahan akses informasi seputar asrama, kesehatan, dll agar tidak ada miskomunikasi.",-1,-1,-1,-1,-1
saat ini Universitas Telkom dalam bidang Layanan Kemahasiswaan cukup bekerja degan baik.,1,1,1,1,1
-,1,1,1,1,1
"Lebih baik perluas tempat parkir terutama parkiran motor agar lebih tertib, kondisikan dokter yang ada di klinik",1,-1,1,1,1
tingkatkan pelayanan,-1,-1,-1,-1,-1
Di berikan atap di setiap jalan asrama agar tidak kehujanan,-1,1,1,1,1
sudah baik,1,1,1,1,1
sangat bagus,1,1,1,1,1
perbaiki sistem kesehatan telkom,1,-1,1,1,1
lebih baik lagi yaaa,-1,-1,-1,-1,-1
-,1,1,1,1,1
sudah baik,1,1,1,1,1
"Saya memang belum pernah berobat ke Poliklinik, tapi saya banyak mendengar keluhan-keluhan dari teman saya jika pelayanannya tidak memuaskan dan membuat mereka malas untuk berobat ke Poliklinik bahkan lebih memilih berobat di klinik luar sekalipun berbayar. Tolong layanannya diperbaiki.",1,-1,1,1,1
layanan supaya ditingkatkan. apalagi maasalah layanan kesehatan.,-1,-1,-1,-1,-1
ditngkatkan kembali dan tidak mempersulit mahasiswa,-1,-1,-1,-1,-1
layanan bidang kemahasiswaan sangat bagus dan memadai,1,1,1,1,1
"Kamar mandi disegala penjuru harap diperhatikan, apalg di student center",1,1,1,1,1
Saran saya agar kualitas air di asrama kedepanya jadi makin baik dan apabila ada penghentian air harap diumumkan terlebih dahulu agar kami lebih siap,-1,1,1,1,1
sudah baik,1,1,1,1,1
lebih banyak mendengar aspirasi mahasiswa,1,1,1,1,1
baik,1,1,1,1,1
"Wifi.id di asrama terkadang di netcut oleh orang yg tidak bertanggung jawab. Terdapat Mahasiswa yang merokok di dalam kamar asrama dengan jumlah banyak (cerita dari teman kelas saya). Apakah tidak ada Jam 'tenang' di asrama? karena jam 10 malam lebih,asrama masih aktif dan menimbulkan suara bising",-1,1,1,1,1
Cukup,1,1,1,1,1
"untuk asramah dimohon agar air keran dapat disaring terlebih dahulu,dan untuk yang lainnya menurut saya baik",-1,1,1,1,1
"sudah bagus, pertahankan dan di tingkatkan kembali",1,1,1,1,1
layanan kesehatan dipermudah syarat untuk jaminan rumah sakit,1,-1,1,1,1
"ring basket asrama tolong diperbaiki, karena kalau di student center lapangan nya sering dipakai ukm sehingga tidak bisa bermain basket",-1,1,1,1,1
"untuk asrama kalau bisa lebih dari 1 tahun, maksimal 3 tahun",-1,1,1,1,1
Sudah bagus,1,1,1,1,1
kegiatan lab jangan dibatasi sampai jam 22.00,1,1,1,1,-1
Lebih baik lagi,1,1,1,1,1
lebih di tingkat kan lagi untuk pelayanan kesehatannya,1,-1,1,1,1
"hanya asrama. Airnya kotor, tolong di perbaiki pak sistem pensupply airnha. Terima kasih",-1,1,1,1,1
lebih  tingkatkan lagi,-1,-1,-1,-1,-1
cukup baik,1,1,1,1,1
air di asrama terlalu kecil,-1,1,1,1,1
asrama kurang bersih airnya dan internetnya kurang cepet,-1,1,1,1,1
tidak ada,1,1,1,1,1
asrama nya semoga bisa lebih layak dan airnya bersih,-1,1,1,1,1
"Sudah cukup baik, cuma air yang berada diasrama terkadang-kadang kotor",-1,1,1,1,1
tidak ada,1,1,1,1,1
"Tetap berikan yang terbaik, jangan mudah lelah",1,1,1,1,1
"akses yang kurang dari sini adalah kendaraan, minima sepeda seharusnya disediakan peminjaman secara gratis dan tertib dengan kata lain tetap diawasi agar fasilitas yang diberikan tidak disalahgunakan, untuk kesehatan poliklinik telkom harus menyediakan orang-orang kesehatan yang memang benar-benar mengabdi dan dengan baik melakukan pekerjaanya dalam mengobati mahasiswa, untuk UKM dan asrama menurut saya sudah cukup baik",1,-1,1,1,1
bagus,1,1,1,1,1
bagus tingkatkan bray. hehe,1,1,1,1,1
"Pemberian obat jangan pelit dong, fasilitasnya jelek banget",-1,-1,-1,-1,-1
"Air asrama harus lebih diperhatikan lagi, layanan kesehatan harus lebih ramah lagi dan tepat waktu jika sedang beristirahat,",-1,-1,1,1,1
-,1,1,1,1,1
Baik.. hanya perlu peningkatan lagi agar jadi yang terbaik,1,1,1,1,1
c,1,1,1,1,1
"parkir motor terlalu sempit, (FIT, FIK, FEB), kartu parkir tidak ada",1,1,1,1,1
sudah cukup baik,1,1,1,1,1
tingkatkan.,-1,-1,-1,-1,-1
even better,1,1,1,1,1
